File	MRO Value
12mix-Eubacterium_rectale_ATCC_33656_bigg_global.tsv	0.6594516594516594
12mix-Alistipes_finegoldii_DSM_17242_bigg_global.tsv	0.6829451540195342
12mix-Ruminococcus_torques_ATCC_27756_bigg_global.tsv	0.6625454545454545
12mix-Roseburia_inulinivorans_DSM_16841_bigg_global.tsv	0.6666666666666666
12mix-Roseburia_hominis_A2_183_bigg_global.tsv	0.6612244897959183
12mix-Odoribacter_splanchnicus_1651_6_DSM_20712_bigg_global.tsv	0.6768893756845564
12mix-Eubacterium_eligens_ATCC_27750_bigg_global.tsv	0.6712727272727272
12mix-Blautia_obeum_ATCC_29174_bigg_global.tsv	0.6651884700665188
12mix-Dorea_formicigenerans_ATCC_27755_bigg_global.tsv	0.6640316205533597
12mix-Eubacterium_ventriosum_ATCC_27560_bigg_global.tsv	0.664
12mix-Parabacteroides_distasonis_ATCC_8503_bigg_global.tsv	0.6787395871061209
12mix-Roseburia_faecis_M72_bigg_global.tsv	0.6714447378347793
12mix-Dorea_longicatena_DSM_13814_bigg_global.tsv	0.6758420862006519
12mix_bigg_global.tsv	0.6685254027261462
